"Observed 
 Wavelength 
 Vac (nm)","Unc. 
 (nm)","Ritz 
 Wavelength 
 Vac (nm)","Unc. 
 (nm)","Rel. 
 Int. 
(?)","Aki
 (s−1)",Acc.,"Ei 
 (cm−1)",,"Ek 
 (cm−1)","Lower Level 
 Conf., Term, J",,,"Upper Level 
 Conf., Term, J",,,Type,"TP
Ref.","Line
Ref."
,,383.5361673,0.0000022,,8.44E+05,AAA,82 258.9543992821,-,[108 324.72016],2s,2S,1/2,9p,2P°,1/2,,T7771,
,,383.53839,0.00009,,,,,,,,,,,,,,,c49
383.5397,0.0006,383.53909,0.00021,30000,1.22E+05,AAA,82 259.158,-,108 324.7253,2,,,9,,,,T8637,L7436c29
,,,,,,,,,,,,,,,,,,
,,383.5409535,0.0000022,,1.42E+06,AAA,82 259.2850014,-,[108 324.725501],2p,2P°,3/2,9d,2D,5/2,,T7771,
,,383.54096,0.00003,,,,,,,,,,,,,,,c50
,,383.5409732,0.0000022,,2.37E+05,AAA,82 259.2850014,-,[108 324.724162],2p,2P°,3/2,9d,2D,3/2,,T7771,
,,383.5410263,0.0000022,,1.42E+05,AAA,82 259.2850014,-,[108 324.72055],2p,2P°,3/2,9s,2S,1/2,,T7771,
,,388.9019815,0.0000021,,1.71E+06,AAA,82 258.9191133,-,107 965.0548660,2p,2P°,1/2,8d,2D,3/2,,T7771,
,,,,,,,,,,,,,,,,,,
,,388.9020595,0.0000021,,1.02E+05,AAA,82 258.9191133,-,107 965.0497145,2p,2P°,1/2,8s,2S,1/2,,T7771,
,,388.90227,0.00009,,,,,,,,,,,,,,,c51
388.9024865,0.0000021,388.9024865,0.0000021,,,,82 258.9543992821,-,107 965.05677174,2s,2S,1/2,8d,2D,5/2,E2,,L11759
,,388.9025152,0.0000021,,1.20E+06,AAA,82 258.9543992821,-,[107 965.0548753],2s,2S,1/2,8p,2P°,3/2,,T7771,
388.9025154,0.0000021,388.9025154,0.0000021,,,,82 258.9543992821,-,107 965.0548660,2s,2S,1/2,8d,2D,3/2,E2,,L11759
,,,,,,,,,,,,,,,,,,
388.9025933,0.0000021,388.9025933,0.0000021,,,,82 258.9543992821,-,107 965.0497145,2s,2S,1/2,8s,2S,1/2,M1,,L11759
,,388.9026017,0.0000021,,1.20E+06,AAA,82 258.9543992821,-,[107 965.0491583],2s,2S,1/2,8p,2P°,1/2,,T7771,
,,388.90486,0.00009,,,,,,,,,,,,,,,c52
388.9064,0.0006,388.90557,0.00021,70000,2.21E+05,AAA,82 259.158,-,107 965.0568,2,,,8,,,,T8637,L7436c29
,,388.9074883,0.0000021,,2.05E+06,AAA,82 259.2850014,-,107 965.05677174,2p,2P°,3/2,8d,2D,5/2,,T7771,
,,,,,,,,,,,,,,,,,,
,,388.90749,0.00003,,,,,,,,,,,,,,,c53
,,388.9075172,0.0000021,,3.42E+05,AAA,82 259.2850014,-,107 965.0548660,2p,2P°,3/2,8d,2D,3/2,,T7771,
,,388.9075951,0.0000021,,2.04E+05,AAA,82 259.2850014,-,107 965.0497145,2p,2P°,3/2,8s,2S,1/2,,T7771,
,,397.0041763,0.0000022,,2.61E+06,AAA,82 258.9191133,-,[107 440.447022],2p,2P°,1/2,7d,2D,3/2,,T7771,
,,397.0042976,0.0000022,,1.53E+05,AAA,82 258.9191133,-,[107 440.43933],2p,2P°,1/2,7s,2S,1/2,,T7771,
,,,,,,,,,,,,,,,,,,
,,397.00448,0.00009,,,,,,,,,,,,,,,c54
,,397.0047325,0.0000022,,1.80E+06,AAA,82 258.9543992821,-,[107 440.44703],2s,2S,1/2,7p,2P°,3/2,,T7771,
,,397.0048539,0.0000022,,,,82 258.9543992821,-,[107 440.43933],2s,2S,1/2,7s,2S,1/2,M1,,
,,397.004867,0.0000022,,1.80E+06,AAA,82 258.9543992821,-,[107 440.43850],2s,2S,1/2,7p,2P°,1/2,,T7771,
,,397.00719,0.00009,,,,,,,,,,,,,,,c55
,,,,,,,,,,,,,,,,,,
397.0075,0.0006,397.00788,0.00022,30000,4.39E+05,AAA,82 259.158,-,107 440.4508,2,,,7,,,,T8637,L7436c29
,,397.0099002,0.0000022,,3.13E+06,AAA,82 259.2850014,-,[107 440.449866],2p,2P°,3/2,7d,2D,5/2,,T7771,
,,397.00991,0.00003,,,,,,,,,,,,,,,c56
,,397.009945,0.0000022,,5.22E+05,AAA,82 259.2850014,-,[107 440.447022],2p,2P°,3/2,7d,2D,3/2,,T7771,
,,397.0100663,0.0000022,,3.06E+05,AAA,82 259.2850014,-,[107 440.43933],2p,2P°,3/2,7s,2S,1/2,,T7771,
,,,,,,,,,,,,,,,,,,
,,410.1702284,0.0000021,,4.29E+06,AAA,82 258.9191133,-,[106 632.1620536],2p,2P°,1/2,6d,2D,3/2,,T7771,
,,410.1704339,0.0000021,,2.45E+05,AAA,82 258.9191133,-,106 632.1498416,2p,2P°,1/2,6s,2S,1/2,,T7771,
,,410.17056,0.0001,,,,,,,,,,,,,,,c57
410.1707462,0.0000021,410.1707462,0.0000021,,,,82 258.9543992821,-,106 632.1665697,2s,2S,1/2,6d,2D,5/2,E2,,L11759
,,410.1708218,0.0000021,,2.86E+06,AAA,82 258.9543992821,-,[106 632.1620756],2s,2S,1/2,6p,2P°,3/2,,T7771,
,,,,,,,,,,,,,,,,,,
410.1710277,0.0000021,410.1710277,0.0000021,,,,82 258.9543992821,-,106 632.1498416,2s,2S,1/2,6s,2S,1/2,M1,,L11759
,,410.1710499,0.0000021,,2.86E+06,AAA,82 258.9543992821,-,[106 632.1485242],2s,2S,1/2,6p,2P°,1/2,,T7771,
410.1734,0.0006,410.17415,0.00024,70000,9.73E+05,AAA,82 259.158,-,106 632.1681,2,,,6,,,,T8637,L7436c29
,,410.17346,0.0001,,,,,,,,,,,,,,,c58
